OSE Building ID,Data Year,Building Name,Building Type,Address,City,State,Zip Code,Latitude,Longitude,Neighborhood,Council District Code,Year Built,Numberof Floors,Property GFA Total,PropertyGFABuilding(s),Property GFA Parking,Primary Property Type,ENERGYSTAR Score,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Largest Property Use Type,Largest Property Use Type GFA,Second Largest Property Use Type,Second Largest Property Use Type GFA,Third Largest Property Use Type,Third Largest Property Use Type GFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPA Building Sub Type Name,Compliance Issue,Compliance Status,Electricity(kBtu),NaturalGas(kBtu),GHG Emissions Intensity,Total Ghg Emissions
285,2018,UNIVERSITY PRESBY CHURCH,NonResidential,4550 15TH AVE NE,SEATTLE,WA,98105,47.6626,-122.31164,NORTHEAST,1,1952,3,87250,87250,0,Worship Facility,38,53.799999237,51.299999237,5544299,5288594,93.900001526,91.5,Worship Facility,103000,,,,,648413,0,30762,Worship Facility,No Issue,Compliant,2212385,3076210,1.9,169.3
286,2018,ROOSEVELT HIGH (SPS-DISTRICT),SPS-District K-12,1410 NE 66TH ST,SEATTLE,WA,98115,47.67723,-122.31281,NORTHEAST,4,2006,3,269297,269297,0,K-12 School,86,32.900001526,32,9041398,8796811,72,71,K-12 School,274673,,,,,1720015,0,29281,K-12 School,No Issue,Compliant,5868691,2928120,0.6,171.2
287,2018,BRYANT ELEMENTARY (SPS-DISTRICT),SPS-District K-12,3311 NE 60TH ST,SEATTLE,WA,98115,47.67184,-122.29221,NORTHEAST,1,2001,3,75174,75174,0,K-12 School,70,34.400001526,33.200000763,2588534,2495373,69.099998474,67.800003052,K-12 School,75174,,,,,414835,0,10800,K-12 School,No Issue,Compliant,1415417,1079956,0.8,61.1
289,2018,FRANTZ H COE ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2424 7TH AVE W,SEATTLE,WA,98119,47.64052,-122.3656,MAGNOLIA / QUEEN ANNE,7,2003,3,75214,75214,0,K-12 School,34,51.900001526,50.200000763,3901101,3776792,97.900001526,96.199996948,K-12 School,75214,,,,,547454,0,19089,K-12 School,No Issue,Compliant,1867914,1908878,1.4,106.4
290,2018,MADISON MIDDLE (SPS-DISTRICT),SPS-District K-12,3429 45TH AVE SW,SEATTLE,WA,98116,47.57298,-122.39028,SOUTHWEST,1,2005,3,134918,134918,0,K-12 School,82,27.700000763,26.799999237,3782666,3664512,67.199996948,65.599998474,K-12 School,136725,,,,,856742,0,7413,K-12 School,No Issue,Compliant,2923204,741308,0.3,47.2
291,2018,THURGOOD MARSHALL (SPS-DISTRICT),SPS-District K-12,2401 S IRVING ST,SEATTLE,WA,98144,47.59096,-122.29985,CENTRAL,1,1991,2,64414,64414,0,K-12 School,62,31.799999237,30.600000381,2074696,1998084,88.900001526,85.699996948,K-12 School,65310,,,,,585605,0,0,K-12 School,No Issue,Compliant,1998084,0,0.1,5.3
292,2018,"MARSHALL, JOHN (SPS-DISTRICT)",SPS-District K-12,520 NE RAVENNA BLVD,SEATTLE,WA,98115,47.67725,-122.32232,NORTHWEST,6,1927,3,92437,92437,0,K-12 School,50,62.599998474,58.799999237,5784962,5436946,80.300003052,76.400001526,K-12 School,92437,,,,,226211,0,46651,K-12 School,No Issue,Compliant,771831,4665115,2.7,249.8
293,2018,ACT THEATER,NonResidential,700 UNION ST,SEATTLE,WA,98101,47.61103,-122.33238,DOWNTOWN,1,1914,7,166570,166570,0,Other - Entertainment/Public Assembly,,33.799999237,33.599998474,4353259,4329866,89,88.800003052,Other - Entertainment/Public Assembly,109754,Other,12876,Office,6136,1154141,0,3919,Other - Entertainment/Public Assembly,No Issue,Compliant,3937929,391938,0.2,31.3
294,2018,YWCA Women's Residence,NonResidential,1118 5TH AVE,SEATTLE,WA,98101,47.6079,-122.33266,DOWNTOWN,7,1913,9,107572,107572,0,Residence Hall/Dormitory,55,65.800003052,63.900001526,6692693,6494892,121.199996948,119.099998474,Residence Hall/Dormitory,63934,Office,27143,Retail Store,10568,788058,3806038,0,Residence Hall/Dormitory,No Issue,Compliant,2688853,0,1.9,209.5
295,2018,CENTURYLINK: 3RD AVE 3-D,NonResidential,1122 3RD AVE,SEATTLE,WA,98101,47.60699,-122.33481,DOWNTOWN,7,1955,15,230880,230880,0,Other,,296.899993896,297.899993896,60278832,60473380,831.400024414,834.099975586,Other,203000,,,,,17723730,0,0,Other,No Issue,Compliant,60473367,0,0.7,161.4
296,2018,COOPER SCHOOL ARTIST'S LOFTS,Multifamily LR (1-4),4408 DELRIDGE WAY SW,SEATTLE,WA,98106,47.56379,-122.36301,DELRIDGE NEIGHBORHOODS,1,1917,4,56617,56617,0,Multifamily Housing,28,34.900001526,33.700000763,1977429,1905593,74.300003052,71.699996948,Multifamily Housing,56617,,,,,345018,0,7284,Multifamily Housing,No Issue,Compliant,1177202,728391,0.7,41.8
297,2018,LAKE CITY COURT,Multifamily MR (5-9),12738 33RD AVE NE,SEATTLE,WA,98125,47.72232,-122.29181,NORTH,5,2009,6,56745,56745,0,Multifamily Housing,45,65.599998474,64.5,2866591,2817715,139,136.899993896,Multifamily Housing,43673,,,,,505886,0,10916,Multifamily Housing,No Issue,Compliant,1726084,1091631,1.1,62.6
299,2018,OTHELLO BUILDING,Multifamily LR (1-4),3815 S OTHELLO ST,SEATTLE,WA,98118,47.53685,-122.28406,GREATER DUWAMISH,2,2003,4,67920,67920,0,Multifamily Housing,,58.599998474,57.799999237,2576235,2540767,158.199996948,156.300003052,Multifamily Housing,24600,Medical Office,12917,Office,4150,704327,0,1376,Multifamily Housing,No Issue,Compliant,2403163,137604,0.2,13.7
300,2018,CLEVELAND HIGH SCHOOL (SPS-DISTRICT),SPS-District K-12,5511 15TH AVE S,SEATTLE,WA,98108,47.55237,-122.31391,GREATER DUWAMISH,2,2007,3,204961,204961,0,K-12 School,83,38.099998474,36.700000763,7800444,7519485,74.300003052,72.900001526,K-12 School,204961,,,,,1179868,0,34938,K-12 School,No Issue,Compliant,4025710,3493775,1,196.3
302,2018,WA ARMY NAT'L GUARD,NonResidential,1600 W ARMORY WAY,SEATTLE,WA,98119,47.63965,-122.3783,MAGNOLIA / QUEEN ANNE,7,1973,1,76086,76086,0,Other,,55,52.099998474,4276224,4053987,92.599998474,89,Other,77810,,,,,447128,0,25284,Other,No Issue,Compliant,1525599,2528388,1.8,138.4
313,2018,ELLIOTT PARK BUILDING,NonResidential,201 ELLIOTT AVE W,SEATTLE,WA,98119,47.61972,-122.36033,MAGNOLIA / QUEEN ANNE,1,1927,5,190000,151000,39000,Medical Office,3,160.699996948,159.199996948,25156402,24917564,358.5,356.899993896,Medical Office,146741,Office,9805,,,4974480,0,79446,Medical Office,No Issue,Compliant,16972926,7944638,3.1,467.2
314,2018,EDGEWATER INN,NonResidential,2411 ALASKAN WAY,SEATTLE,WA,98121,47.61235,-122.3518,DOWNTOWN,1,1961,4,122309,122309,0,Hotel,10,196.600006104,193.800003052,24042268,23702870,295.600006104,293.700012207,Hotel,122309,,,,,1848256,0,173966,Hotel,No Issue,Compliant,6306249,17396620,7.7,940.8
315,2018,PORT OF SEATTLE  BELL HARBOR COMPLEX  & CONFERENCE - CAMPUS,Campus,2201 ALASKAN WAY,SEATTLE,WA,98121,47.61137,-122.34947,DOWNTOWN,1,1995,3,217088,217088,0,Mixed Use Property,,195.800003052,194.5,42516572,42215872,422.299987793,422.799987793,Convention Center,96648,Transportation Terminal/Station,96647,Restaurant,22181,7946844,0,151012,Mixed Use Property,No Issue,Compliant,27114632,15101241,4,874.4
316,2018,SEATTLE WATERFRONT MARRIOTT,NonResidential,2100 ALASKAN WAY,SEATTLE,WA,98121,47.61069,-122.34653,DOWNTOWN,1,2003,8,254273,215473,38800,Hotel,38,102.599998474,102.599998474,26090486,26078350,193.699996948,194.300003052,Hotel,254273,Parking,38757,,,3690390,0,134867,Hotel,No Issue,Compliant,12591611,13486739,3.5,749.9
317,2018,SEATTLE AQUARIUM,Nonresidential COS,1421 ALASKAN WAY,SEATTLE,WA,98101,47.60729,-122.34211,DOWNTOWN,1,1980,2,53365,53365,0,Other - Entertainment/Public Assembly,,238.600006104,235.199996948,16562020,16324195,550.5,545.299987793,Other - Entertainment/Public Assembly,69400,,,,,3467558,0,44929,Other - Entertainment/Public Assembly,No Issue,Compliant,11831308,4492888,5.1,270.2
318,2018,PIER 54  IVARS ACRES OF CLAMS,NonResidential,1003 ALASKAN WAY,SEATTLE,WA,98104,47.6041,-122.33958,DOWNTOWN,7,1900,1,62900,62900,0,Mixed Use Property,,184.699996948,181.5,12145104,11936242,310.100006104,306.799987793,Restaurant,32494,Other,29793,Retail Store,3462,1278954,0,75724,Mixed Use Property,No Issue,Compliant,4363791,7572450,6.6,413.8
319,2018,DAILY JOURNAL BUILDING,NonResidential,83 COLUMBIA ST,SEATTLE,WA,98104,47.60271,-122.33557,DOWNTOWN,7,1914,4,56500,56500,0,Office,85,38.299999237,36.599998474,1532056,1463543,76.300003052,74.199996948,Office,33000,Retail Store,7000,,,221667,707217,0,Office,No Issue,Compliant,756326,0,0.7,39.6
320,2018,BMW SEATTLE - SERVICE CENTER,NonResidential,900 MAYNARD AVE S,SEATTLE,WA,98134,47.59486,-122.32455,GREATER DUWAMISH,2,2008,4,203504,44132,159372,Non-Refrigerated Warehouse,64,17.200000763,17,3498516,3454822,48.099998474,47.5,Non-Refrigerated Warehouse,159372,Other - Services,44132,,,1012551,0,0,Non-Refrigerated Warehouse,No Issue,Compliant,3454824,0,0.2,9.2
322,2018,KIRO RADIO & TELEVISION,NonResidential,2807 3RD AVE,SEATTLE,WA,98121,47.61757,-122.35122,DOWNTOWN,7,1968,3,100734,74003,26731,Office,43,98.199996948,97.699996948,9890057,9838442,274.899993896,273.5,Office,100734,Parking,26731,,,2883483,0,0,Office,Default Data,Not Compliant,9838444,0,0.4,26.3
323,2018,GRANGE OFFICE PLAZA,NonResidential,200 CEDAR ST,SEATTLE,WA,98121,47.61703,-122.35012,DOWNTOWN,1,1981,4,77662,59158,18504,Office,61,69.599998474,69.699996948,4323272,4326897,175.399993896,177.199996948,Office,62108,Parking,17570,,,1082283,0,6341,Office,No Issue,Compliant,3692750,634149,0.7,43.5
324,2018,FOURTH & BATTERY BUILDING,NonResidential,2401 4TH AVE,SEATTLE,WA,98121,47.61619,-122.34599,DOWNTOWN,1,1978,12,234000,212210,21790,Office,44,74,73.699996948,15435140,15370485,202.899993896,202.5,Office,174783,Laboratory,29952,Parking,22498,4368616,0,4648,Office,No Issue,Compliant,14905718,464766,0.3,64.5
325,2018,WESTLAKE MALL RETAIL PORTION,NonResidential,400 PINE ST,SEATTLE,WA,98101,47.61192,-122.33717,DOWNTOWN,1,1989,4,111077,111077,0,Enclosed Mall,,131.800003052,131.800003052,14638890,14638890,314,314,Enclosed Mall,111077,,,,,3267590,0,34899,Enclosed Mall,No Issue,Compliant,11149017,3489873,1.9,215.1
326,2018,WEST LAKE TOWER OFFICE BUILDING,NonResidential,1601 5TH AVE,SEATTLE,WA,98101,47.61192,-122.33717,DOWNTOWN,1,1989,25,516342,389150,127192,Office,75,57.400001526,57.400001526,22539646,22539646,160.699996948,160.699996948,Office,392829,Parking,127192,,,6605992,0,0,Office,No Issue,Compliant,22539645,0,0.2,60.2
327,2018,NORDSTROM DOWNTOWN,NonResidential,500 PINE ST,SEATTLE,WA,98101,47.61229,-122.33629,DOWNTOWN,7,1925,10,693450,693450,0,Retail Store,86,53.799999237,54.200000763,37276188,37596404,144.100006104,145.399993896,Retail Store,361107,Office,332343,,,10277660,8213,25208,Retail Store,No Issue,Compliant,35067376,2520808,0.3,227.9
328,2018,CENTURYLINK: SEATTLE BELL PLAZA,NonResidential,1600 7TH AVE,SEATTLE,WA,98101,47.61316,-122.3343,DOWNTOWN,7,1976,33,791396,791396,0,Office,81,79,77.699996948,45400912,44657524,220.699996948,217.100006104,Office,534683,Parking,77625,Lifestyle Center,17454,13045320,0,1469,Office,No Issue,Compliant,44510632,146897,0.2,126.6
329,2018,1700 SEVENTH BUILDING,NonResidential,1700 7TH AVE,SEATTLE,WA,98101,47.61399,-122.33523,DOWNTOWN,7,2000,23,747747,542671,205076,Office,86,53.400001526,53,29462332,29231780,140.600006104,139.399993896,Office,542461,Parking,219045,Restaurant,9337,7743917,0,28095,Office,No Issue,Compliant,26422245,2809534,0.4,219.7
330,2018,LLOYD BUILDING,NonResidential,603 STEWART ST,SEATTLE,WA,98101,47.61356,-122.33665,DOWNTOWN,7,1926,10,63409,55652,7757,Office,79,66.099998474,63.200000763,3400776,3249748,119.800003052,116.300003052,Office,45260,Retail Store,6187,,,380335,1952045,0,Office,No Issue,Compliant,1297703,0,1.9,107.2
331,2018,TOWER BLDG,NonResidential,1809 7TH AVE,SEATTLE,WA,98101,47.61375,-122.33566,DOWNTOWN,1,1930,17,204790,174790,30000,Office,92,42.400001526,41.5,7373700,7213934,98.5,97.5,Office,142034,Other - Recreation,17070,Retail Store,14666,1569516,0,18587,Office,No Issue,Compliant,5355189,1858746,0.6,113
332,2018,TIMES SQUARE BUILDING (THE VANCE CORPORATION),NonResidential,414 OLIVE WAY,SEATTLE,WA,98101,47.61256,-122.33808,DOWNTOWN,7,1916,5,73399,73399,0,Office,61,55.599998474,54,3419376,3323670,155.600006104,151.199996948,Office,51557,Retail Store,9976,,,974112,0,0,Office,No Issue,Compliant,3323670,0,0.1,8.9
333,2018,PLAZA 600 BUILDING,NonResidential,600 STEWART ST,SEATTLE,WA,98101,47.61402,-122.33712,DOWNTOWN,7,1969,20,265851,233517,32334,Office,79,73.900001526,71.400001526,16739673,16176061,142.899993896,139.899993896,Office,226454,Parking,29214,,,2243888,8519914,0,Office,No Issue,Compliant,7656146,0,2,473.4
334,2018,WEST 8TH,NonResidential,2001 8TH AVE,SEATTLE,WA,98121,47.61578,-122.33726,DOWNTOWN,7,2009,25,758043,529375,228668,Office,95,38.200000763,37.900001526,22281528,22101578,106.900001526,106,Office,582725,Parking,191082,,,6457550,0,684,Office,No Issue,Compliant,22033161,68420,0.1,62.4
335,2018,DENNY BUILDING,NonResidential,2200 6TH AVE,SEATTLE,WA,98121,47.61641,-122.34112,DOWNTOWN,1,1968,12,190642,190642,0,Office,88,45.299999237,44.700000763,8626160,8505346,104.300003052,104.199996948,Office,190437,Parking,48500,,,1763979,2486650,0,Office,No Issue,Compliant,6018696,0,0.8,148.3
336,2018,1918 EIGHTH AVE,NonResidential,1918 8TH AVE,SEATTLE,WA,98101,47.61555,-122.33582,DOWNTOWN,1,2009,36,824887,669915,154972,Office,88,53.900001526,53.900001526,40082292,40082292,150.600006104,150.600006104,Office,743562,Parking,161119,,,11708810,0,1318,Office,No Issue,Compliant,39950460,131828,0.2,113.6
337,2018,1800 9TH AVENUE BUILDING,NonResidential,1800 9TH AVE,SEATTLE,WA,98101,47.61516,-122.33303,DOWNTOWN,7,1990,16,480840,339240,141600,Office,87,52.700000763,52.400001526,17891800,17778516,147.100006104,146.199996948,Office,311736,Parking,123356,Fitness Center/Health Club/Gym,18239,5178783,0,1085,Office,No Issue,Compliant,17670008,108510,0.2,52.9
338,2018,SEATTLE CHILDREN'S HOSPITAL  (JACK R MCDONALD BUILDING),NonResidential,1900 9TH AVE,SEATTLE,WA,98101,47.61598,-122.33448,DOWNTOWN,1,2004,11,299070,230638,68432,Other,,246.800003052,245.100006104,61699340,61263644,462.200012207,460.399993896,Other,250000,Parking,49070,,,8502343,0,322536,Other,No Issue,Compliant,29009994,32253647,7.8,1790.4
339,2018,BRODERICK BUILDING,NonResidential,615 2ND AVE,SEATTLE,WA,98104,47.60266,-122.33332,DOWNTOWN,7,1900,7,89550,89550,0,Office,79,46.400001526,45.400001526,4214484,4125634,122.199996948,120.099998474,Office,79295,Retail Store,11630,Social/Meeting Hall,4336,1093066,396092,0,Office,No Issue,Compliant,3729541,0,0.3,31
340,2018,PIONEER BUILDING,NonResidential,600 1ST AVE,SEATTLE,WA,98104,47.60219,-122.33347,DOWNTOWN,7,1900,6,89355,89355,0,Office,54,44,44,3933419,3929708,122.400001526,122.400001526,Office,82355,Retail Store,7000,,,1140499,0,383,Office,No Issue,Compliant,3891383,38324,0.1,12.4
341,2018,DEXTER HORTON BUILDING,NonResidential,710 2ND AVE,SEATTLE,WA,98104,47.6036,-122.33288,DOWNTOWN,7,1922,15,388934,388934,0,Office,93,31.700000763,31.5,12337391,12244048,84.400001526,84.199996948,Office,388934,,,,,3303580,972232,0,Office,No Issue,Compliant,11271815,0,0.2,81.8
342,2018,EXCHANGE BUILDING,NonResidential,821 2ND AVE,SEATTLE,WA,98104,47.60403,-122.33497,DOWNTOWN,1,1929,22,384302,384302,0,Office,96,32.299999237,31.600000381,12872435,12621891,90.300003052,88.5,Office,367167,Other - Utility,21060,Other,10885,3699265,0,0,Office,No Issue,Compliant,12621892,0,0.1,33.7
343,2018,NORTON BUILDING,NonResidential,801 2ND AVE,SEATTLE,WA,98104,47.6037,-122.33447,DOWNTOWN,7,1958,17,378525,293925,84600,Office,69,88.099998474,87.099998474,21777078,21530946,185.699996948,185.399993896,Office,247161,Parking,83311,,,3654345,9062320,0,Office,No Issue,Compliant,12468625,0,1.8,515
345,2018,999 THIRD AVE,NonResidential,999 3RD AVE,SEATTLE,WA,98104,47.60505,-122.33427,DOWNTOWN,7,1983,47,1323055,1323055,0,Office,88,,39.799999237,,43379748,,111.5,Office,1088855,Parking,272682,,,12701650,0,0,Office,No Issue,Compliant,43338030,0,0.1,115.7
346,2018,1000 2ND AVENUE BUILDING,NonResidential,1000 2ND AVE,SEATTLE,WA,98104,47.60567,-122.33511,DOWNTOWN,7,1986,41,589921,460489,129432,Office,83,42.700000763,42.700000763,20270056,20270056,119.599998474,119.599998474,Office,463982,Parking,142792,Pre-school/Daycare,10476,5940813,0,0,Office,No Issue,Compliant,20270054,0,0.1,54.1
348,2018,1101 SECOND AVE OFFICE BUILDING,NonResidential,1101 2ND AVE,SEATTLE,WA,98101,47.60581,-122.33664,DOWNTOWN,1,1968,8,147672,87315,60357,Office,68,53.700000763,53.700000763,4685470,4685470,150.300003052,150.300003052,Office,87315,Parking,60357,,,1373233,0,0,Office,No Issue,Compliant,4685471,0,0.1,12.5
349,2018,2ND & SENECA BLDS,NonResidential,1191 2ND AVE,SEATTLE,WA,98101,47.60614,-122.33674,DOWNTOWN,7,1991,29,635303,438072,197231,Office,88,31.200000763,30.899999619,16311605,16144664,86.800003052,86,Office,522667,Parking,194435,,,4682245,168846,0,Office,No Issue,Compliant,15975820,0,0.1,51.6
350,2018,SECOND AND SPRING BUILDING,NonResidential,1100 2ND AVE,SEATTLE,WA,98101,47.60642,-122.33581,DOWNTOWN,1,1958,6,172842,146922,25920,Office,,236.600006104,235.800003052,34762512,34640100,638.700012207,637.799987793,Office,107586,Data Center,39336,Parking,25920,9601719,0,18790,Office,No Issue,Compliant,32761065,1879035,1.3,187.2
351,2018,1111 3RD AVE BUILDING,NonResidential,1111 3RD AVE,SEATTLE,WA,98101,47.60655,-122.33533,DOWNTOWN,7,1980,34,776762,614158,162604,Office,78,55.299999237,55,31740886,31574988,153.399993896,152.600006104,Office,574358,Parking,154947,,,9128520,0,4285,Office,No Issue,Compliant,31146510,428478,0.2,105.9
352,2018,ABRAHAM LINCOLN BUILDING,NonResidential,1110 3RD AVE,SEATTLE,WA,98101,47.60671,-122.33456,DOWNTOWN,1,1972,14,186768,162993,23775,Office,79,56.400001526,56.099998474,10316254,10246881,133.699996948,134,Office,182540,Parking,33671,Data Center,240,2234149,2623964,0,Office,No Issue,Compliant,7622916,0,1,159.8
353,2018,SAFECO PLAZA / 1001 FOURTH AVENUE,NonResidential,1001 4TH AVE,SEATTLE,WA,98104,47.60615,-122.33388,DOWNTOWN,7,1969,49,1123435,754455,368980,Office,75,58.700000763,57.5,53282736,52212944,147.699996948,145.699996948,Office,895147,Parking,234689,Food Sales,12599,12974130,0,79452,Office,No Issue,Compliant,44267732,7945228,0.7,540.1
354,2018,FOURTH & MADISON ( IDX TOWER),NonResidential,925 4TH AVE,SEATTLE,WA,98104,47.60549,-122.33319,DOWNTOWN,7,2002,37,1052469,888049,164420,Office,86,45.700000763,45.700000763,40743792,40666580,128.100006104,127.900001526,Office,764476,Parking,185581,Financial Office,103478,11918690,0,0,Office,No Issue,Compliant,40666570,0,0.1,108.6
355,2018,901 FIFTH AVENUE,NonResidential,901 5TH AVE,SEATTLE,WA,98104,47.60616,-122.33165,DOWNTOWN,1,1973,42,711611,540589,171022,Office,83,63.200000763,62.5,37887156,37470376,173,171.300003052,Office,581558,Parking,189600,Retail Store,18026,10580640,1369237,0,Office,No Issue,Compliant,36101144,0,0.3,169.2
356,2018,CENTRAL BUILDING,NonResidential,810 3RD AVE,SEATTLE,WA,98104,47.60471,-122.33261,DOWNTOWN,1,1907,8,201480,201480,0,Office,69,54.900001526,53.900001526,11066963,10851451,137.899993896,135.899993896,Office,161762,Retail Store,29094,Non-Refrigerated Warehouse,10624,2629601,1879250,0,Office,No Issue,Compliant,8972199,0,0.6,123.9
357,2018,SEATTLE MUNICIPAL TOWER,Nonresidential COS,700 5TH AVE,SEATTLE,WA,98104,47.60501,-122.32988,DOWNTOWN,1,1990,63,1354987,1195387,159600,Office,91,39.599998474,39.599998474,48482004,48482004,110.800003052,110.800003052,Office,1222878,Parking,275949,,,14171990,0,1272,Office,No Issue,Compliant,48354830,127185,0.1,135.8
358,2018,SEATTLE JUSTICE CENTER,Nonresidential COS,610 5TH AVE,SEATTLE,WA,98104,47.60421,-122.32919,DOWNTOWN,1,2001,14,310490,310490,0,Courthouse,66,63.099998474,61.799999237,18810510,18430078,145.600006104,144.199996948,Courthouse,298278,,,,,3964219,0,49042,Courthouse,No Issue,Compliant,13525915,4904163,1,296.6
359,2018,CITY HALL,Nonresidential COS,600 4TH AVE,SEATTLE,WA,98104,47.60377,-122.32971,DOWNTOWN,1,2003,8,199530,168870,30660,Office,52,76.800003052,75.199996948,14133259,13848098,167.800003052,167.300003052,Office,184042,Parking,17774,,,2720869,0,45645,Office,No Issue,Compliant,9283605,4564494,1.6,267.2
360,2018,CHINOOK BLDG - KING COUNTY,NonResidential,401 5TH AVE,SEATTLE,WA,98104,47.60249,-122.32854,DOWNTOWN,7,2006,13,372242,319539,52703,Office,96,47.5,47.400001526,13495387,13477064,116.5,117.199996948,Office,276506,Parking,55153,Pre-school/Daycare,5638,3207911,0,25317,Office,No Issue,Compliant,10945392,2531671,0.5,163.7
361,2018,YESLER BUILDING - KING COUNTY,NonResidential,400 YESLER WAY,SEATTLE,WA,98104,47.60193,-122.32812,DOWNTOWN,7,1909,7,114395,106099,8296,Office,97,29.100000381,28.100000381,2811413,2711339,58.900001526,57.799999237,Office,96582,,,,,457544,0,11502,Office,No Issue,Compliant,1561139,1150200,0.6,65.3
363,2018,UNIVERSITY BOOK STORE,NonResidential,4326 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66024,-122.31278,NORTHEAST,4,1978,2,89200,89200,0,Retail Store,27,66.199996948,66.199996948,5907532,5908402,172.699996948,173.5,Retail Store,89200,,,,,1553319,0,6085,Retail Store,No Issue,Compliant,5299924,608476,0.5,46.5
364,2018,UW TOWER BLDG COMPLEX,NonResidential,4333 BROOKLYN AVE NE,SEATTLE,WA,98105,47.66072,-122.31466,NORTHEAST,1,1971,23,474546,474546,0,Office,68,61.099998474,59.799999237,28992470,28358852,171.100006104,167.300003052,Office,474546,,,,,8311504,0,0,Office,No Issue,Compliant,28358852,0,0.2,75.7
365,2018,UW TOWER DATA CENTER,NonResidential,4310 12TH AVE NE,SEATTLE,WA,98105,47.6606,-122.31512,NORTHEAST,4,1969,5,36000,36000,0,Data Center,96,958.5,958.5,34507200,34507200,2683.899902344,2683.899902344,Data Center,36000,,,,,10113480,0,0,Data Center,No Issue,Compliant,34507194,0,2.6,92.1
366,2018,UNIVERSITY DISTRICT BUILDING,NonResidential,1107 NE 45TH ST,SEATTLE,WA,98105,47.661,-122.31626,NORTHEAST,4,1961,5,99005,99005,0,Office,67,51.200000763,49.599998474,4074448,3948797,110.300003052,108.699996948,Office,79555,,,,,753680,0,13772,Office,No Issue,Compliant,2571555,1377242,0.8,80
367,2018,4311 11th Avenue NE,NonResidential,4311 11TH AVE NE,SEATTLE,WA,98105,47.66065,-122.31689,NORTHEAST,4,2002,6,135051,90803,44248,Office,94,33.799999237,33.799999237,3243891,3243891,94.699996948,94.699996948,Office,95943,Parking,42500,,,950730,0,0,Office,No Issue,Compliant,3243891,0,0.1,8.7
368,2018,4300 ROOSEVELT,NonResidential,4300 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65999,-122.31741,NORTHEAST,4,2002,5,220649,137929,82720,Office,94,40,40,5825512,5825512,111.900001526,111.900001526,Office,145754,Parking,90000,,,1707360,0,0,Office,No Issue,Compliant,5825512,0,0.1,15.6
369,2018,SEATTLE VAULT SELF STORAGE,NonResidential,1800 TERRY AVE,SEATTLE,WA,98101,47.61591,-122.33238,DOWNTOWN,1,1964,5,93660,93660,0,Self-Storage Facility,,5.5,5.5,512970,512970,15.300000191,15.300000191,Self-Storage Facility,93660,,,,,150343,0,0,Self-Storage Facility,No Issue,Compliant,512970,0,0,1.4
370,2018,METROPOLITAN PARK I  (WEST) OFFICE BLDG,NonResidential,1100 OLIVE WAY,SEATTLE,WA,98101,47.61597,-122.33086,DOWNTOWN,7,1980,18,413715,349055,64660,Office,68,59.5,59.5,20718242,20718242,165.199996948,165.199996948,Office,348270,Parking,69634,,,5995183,0,2627,Office,No Issue,Compliant,20455564,262677,0.2,68.6
371,2018,METROPOLITAN PARK NORTH BUILDING,NonResidential,1220 HOWELL ST,SEATTLE,WA,98101,47.6177,-122.3306,DOWNTOWN,1,2000,11,380312,184691,195621,Mixed Use Property,85,50.400001526,50.299999237,10302415,10292266,139.800003052,139.699996948,Parking,182820,Office,165558,Fitness Center/Health Club/Gym,39024,2977751,0,1322,Mixed Use Property,No Issue,Compliant,10160086,132181,0.2,34.1
372,2018,METROPOLITAN PARK EAST,NonResidential,1730 MINOR AVE,SEATTLE,WA,98101,47.61695,-122.32965,DOWNTOWN,7,1988,20,497513,378769,118744,Office,72,55.200000763,55.200000763,20292610,20292610,153.199996948,153.199996948,Office,367623,Parking,114510,,,5860714,0,2959,Office,No Issue,Compliant,19996756,295852,0.2,69.1
373,2018,FOURTH & BLANCHARD BUILDING,NonResidential,2101 4TH AVE,SEATTLE,WA,98121,47.61431,-122.34244,DOWNTOWN,7,1979,24,543876,427155,116721,Office,77,52.400001526,51.900001526,22093130,21890420,146.699996948,145.300003052,Office,421784,Parking,105335,,,6415715,0,0,Office,No Issue,Compliant,21890420,0,0.1,58.4
374,2018,3005 1ST AVE BUILDING,NonResidential,3005 1ST AVE,SEATTLE,WA,98121,47.6177,-122.3545,DOWNTOWN,1,1980,4,109347,70647,38700,Mixed Use Property,,96.599998474,95.599998474,6743933,6676126,246.5,245.5,Laboratory,41552,Parking,38700,Office,28258,1696551,0,8875,Mixed Use Property,No Issue,Compliant,5788632,887493,0.9,62.6
375,2018,THIRD AND BROAD BLDG,NonResidential,2901 3RD AVE,SEATTLE,WA,98121,47.6182,-122.352,DOWNTOWN,7,1982,6,396626,272410,124216,Office,83,55.200000763,55.200000763,15182393,15182393,154.5,154.5,Office,275227,Parking,125877,,,4449705,0,0,Office,No Issue,Compliant,15182393,0,0.1,40.5
