OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
20217,2022,SAND POINT ELEMENTARY (SPS-DISTRICT),SPS-District K-12,1125049134,6200 60TH AVE NE,SEATTLE,WA,98115,47.67365,-122.26293,NORTHEAST,4,1958,1,1,38624,38624,0,81,40.59999847,42.90000153,1822889,1725580,69.69999695,72.40000153,K-12 School,K-12 School,42529,NA,,NA,,194943,,11577,Compliant,No Issue,665146,1157740,64,1.66
20222,2022,BROADWAY PLAZA CONDOMINIUM,Multifamily MR (5-9),1131000000,116 11TH AVE E,SEATTLE,WA,98102,47.61927,-122.31786,EAST,3,1985,5,1,22874,22874,0,,25.29999924,26.20000076,599184,579112,70.90000153,73.30000305,Multifamily MR (5-9),Multifamily Housing,22874,NA,,NA,,175611,,,Compliant,No Issue,599184,,2.3,0.1
20223,2022,WHITE HEATHER APT BLDG,Multifamily LR (1-4),1133000220,12556 15TH AVE NE,SEATTLE,WA,98125,47.72098,-122.31228,NORTH,5,1965,3,1,21469,21469,0,77,26.20000076,27.20000076,583081,562372,73.30000305,76,Multifamily LR (1-4),Multifamily Housing,21469,NA,,NA,,170891,,,Compliant,No Issue,583081,,2.2,0.1
20224,2022,PINEHURST COURT,Multifamily LR (1-4),1133000225,12702 15TH AVE NE,SEATTLE,WA,98125,47.72142,-122.31203,NORTH,5,1984,4,1,50252,50252,0,41,40.29999924,40.79999924,2050138,2027666,113,114.1999969,Multifamily LR (1-4),Multifamily Housing,50252,NA,,NA,,600861,,,Compliant,No Issue,2050138,,7.9,0.16
20228,2022,ARRAGUN APARTMENTS,Multifamily LR (1-4),1139000105,10757 GREENWOOD AVE N,SEATTLE,WA,98133,47.70847,-122.35593,NORTHWEST,5,1978,3,1,22824,20480,2344,,27.70000076,28.39999962,582067,567324,77.59999847,79.59999847,Multifamily LR (1-4),Multifamily Housing,20480,Parking,2344,NA,,170594,,,Compliant,No Issue,582067,,2.2,0.11
20230,2022,NORTHPARK VILLAGE,Multifamily LR (1-4),1139000990,10545 GREENWOOD AVE N,SEATTLE,WA,98133,47.7064,-122.35574,NORTHWEST,5,1988,3,1,57338,43130,14208,92,27,27.60000038,1193923,1164470,75.5,77.40000153,Multifamily LR (1-4),Multifamily Housing,43180,Parking,14208,NA,,349919,,,Compliant,No Issue,1193923,,4.6,0.11
20232,2022,MALLOY APTS,Multifamily MR (5-9),1142000015,4337 15TH AVE NE,SEATTLE,WA,98105,47.66085,-122.31244,NORTHEAST,4,1928,8,1,93502,93502,0,91,35,36.09999847,3375762,3270155,72.80000305,75.69999695,Multifamily MR (5-9),Multifamily Housing,93502,NA,,NA,,592454,,13543,Compliant,No Issue,2021452,1354310,79.7,0.85
20234,2022,BARTELL'S AND APARTMENTS,Multifamily LR (1-4),1142000120,4346 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66112,-122.31285,NORTHEAST,4,1909,4,1,20260,20260,0,,22.70000076,22.5,456817,459212,63.5,63.09999847,Multifamily LR (1-4),Multifamily Housing,12640,Retail Store,7620,NA,,133886,,,Compliant,No Issue,456817,,1.8,0.09
20237,2022,RETAIL,NonResidential,1142000160,4315 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66033,-122.31348,NORTHEAST,4,1900,3,1,32960,32960,0,99,13.69999981,13.69999981,450071,450071,38.20000076,38.20000076,Retail Store,Retail Store,32960,NA,,NA,,131908,,,Compliant,No Issue,450071,,1.7,0.05
20241,2022,NEPTUNE THEATER,NonResidential,1142000235,1301 NE 45TH ST,SEATTLE,WA,98105,47.66097,-122.3139,NORTHEAST,4,1921,3,1,29636,29636,0,,118.1999969,124.8000031,3698616,3504072,167.3999939,174.3000031,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,20042,Multifamily Housing,5808,Office,3786,214576,,29665,Compliant,No Issue,732132,2966480,160.4,5.41
20242,2022,THE COLLEGIANA (UW MED),NonResidential,1142000445,4311 12TH AVE NE,SEATTLE,WA,98105,47.66023,-122.31581,NORTHEAST,4,1930,3,1,20571,20571,0,92,35.09999847,35.5,730376,722917,98.40000153,99.40000153,Hotel,Hotel,20571,NA,,NA,,214061,,,Compliant,No Issue,730376,,2.8,0.14
20243,2022,LA MIRADA APARTMENTS,Multifamily LR (1-4),1142000450,1120 NE 43RD ST,SEATTLE,WA,98105,47.65998,-122.31579,NORTHEAST,4,1956,4,1,23742,23742,0,89,28.5,29.70000076,705334,677293,79.90000153,83.19999695,Multifamily LR (1-4),Multifamily Housing,23742,NA,,NA,,206721,,,Compliant,No Issue,705333,,2.7,0.11
20246,2022,CARLSTROM APARTMENTS,Multifamily LR (1-4),1142000670,4225 11TH AVE NE,SEATTLE,WA,98105,47.65909,-122.31691,NORTHEAST,4,1964,4,1,22344,16758,5586,,31.29999924,32.5,726004,699195,87.59999847,91,Multifamily LR (1-4),Multifamily Housing,22344,Parking,5586,NA,,212780,,,Compliant,No Issue,726004,,2.8,0.17
20251,2022,FORDE APARTMENTS,Multifamily LR (1-4),1142000805,4231 12TH AVE NE,SEATTLE,WA,98105,47.65915,-122.31579,NORTHEAST,4,1981,3,1,24492,21176,3316,91,24.10000038,24.39999962,516473,510277,67.5,68.30000305,Multifamily LR (1-4),Multifamily Housing,21176,NA,,NA,,151370,,,Compliant,No Issue,516473,,2,0.09
20252,2022,ESCOLIER APARTMENTS,Multifamily MR (5-9),1142000860,4214 11TH AVE NE,SEATTLE,WA,98105,47.65893,-122.31634,NORTHEAST,4,1962,5,1,31075,31075,0,100,20.60000038,21.39999962,664529,639094,57.59999847,59.90000153,Multifamily MR (5-9),Multifamily Housing,31075,Parking,2500,NA,,194762,,,Compliant,No Issue,664529,,2.5,0.08
20258,2022,WELLESLEY APARTMENTS,Multifamily LR (1-4),1142000955,4203 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65847,-122.3147,NORTHEAST,4,1925,3,1,28700,28700,0,64,29.89999962,31.39999962,900006,858396,83.69999695,87.80000305,Multifamily LR (1-4),Multifamily Housing,28700,NA,,NA,,263777,,,Compliant,No Issue,900006,,3.5,0.12
20263,2022,STANFORD APARTMENTS,Multifamily LR (1-4),1142001090,1304 NE 42ND ST,SEATTLE,WA,98105,47.65848,-122.31397,NORTHEAST,4,1924,3,1,22542,22542,0,98,26.89999962,28,632253,607181,59.59999847,62.5,Multifamily LR (1-4),Multifamily Housing,22542,NA,,NA,,124654,,2069,Compliant,No Issue,425319,206930,12.6,0.56
20264,2022,CAMPUS APT,Multifamily LR (1-4),1142001100,4210 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65874,-122.31395,NORTHEAST,4,1923,4,1,24680,24680,0,,35.59999847,37.20000076,917449,878260,78.59999847,82.80000305,Multifamily LR (1-4),Multifamily Housing,24680,NA,,NA,,180928,,3001,Compliant,No Issue,617327,300120,18.3,0.74
20265,2022,UNIVERSITY MANOR APARTMENTS,Multifamily MR (5-9),1142001140,1305 NE 43RD ST,SEATTLE,WA,98105,47.65964,-122.31394,NORTHEAST,4,1928,8,1,63837,63837,0,,39.59999847,41.29999924,2601887,2493856,85.80000305,90.40000153,Multifamily MR (5-9),Multifamily Housing,60799,Medical Office,1276,Other - Restaurant/Bar,976,496903,,9064,Compliant,No Issue,1695434,906450,54.6,0.86
20267,2022,LA PAZ APARTMENTS WITH STREET LEVEL RETAIL,Multifamily LR (1-4),1142001210,4200 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.65853,-122.3128,NORTHEAST,4,1916,3,1,22320,22320,0,,,,,,,,Multifamily LR (1-4),Multifamily Housing,14206,Retail Store,7006,NA,,139326,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",475379,,1.8,0.08
20273,2022,BROOKLYN PLAZA DORM,NonResidential,1142001455,4106 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65711,-122.31409,NORTHEAST,4,1993,3,1,28572,21245,7327,,,,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,22000,Parking,7000,NA,,281378,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",960060,,3.7,0.17
20274,2022,COHO APARTMENTS,Multifamily LR (1-4),1142001475,4120 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65755,-122.31406,NORTHEAST,4,1964,4,1,26639,26639,0,94,24.60000038,25.89999962,689378,656512,69,72.5,Multifamily LR (1-4),Multifamily Housing,26639,NA,,NA,,202045,,,Compliant,No Issue,689378,,2.6,0.1
20279,2022,MAVERICK APT,Multifamily LR (1-4),1142001535,4131 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65766,-122.31471,NORTHEAST,4,1963,4,1,34735,27671,7064,100,17.89999962,17.89999962,496074,496074,50.20000076,50.20000076,Multifamily LR (1-4),Multifamily Housing,27671,NA,,NA,,145391,,,Compliant,No Issue,496074,,1.9,0.07
20280,2022,TYEE APARTMENTS,Multifamily LR (1-4),1142001560,4115 BROOKLYN AVE NE,SEATTLE,WA,98105,47.6573,-122.31474,NORTHEAST,4,1963,4,1,25568,25568,0,99,23.89999962,23.89999962,610335,610335,66.80000305,66.80000305,Multifamily LR (1-4),Multifamily Housing,25568,NA,,NA,,178879,,,Compliant,No Issue,610335,,2.3,0.09
20281,2022,LEVERE APTS,Multifamily LR (1-4),1142001570,4105 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65698,-122.31491,NORTHEAST,4,1927,3,1,25904,25904,0,85,38.90000153,40.70000076,1054803,1008866,78.80000305,83.5,Multifamily LR (1-4),Multifamily Housing,25904,NA,,NA,,176625,,4522,Compliant,No Issue,602644,452160,26.3,1.02
20296,2022,LEE AND LEE APARTMENTS,Multifamily LR (1-4),1142001770,4145 11TH AVE NE,SEATTLE,WA,98105,47.65807,-122.31713,NORTHEAST,4,1941,3,1,24548,24548,0,89,33.29999924,34.29999924,841708,817622,93.30000305,96,Multifamily LR (1-4),Multifamily Housing,24548,NA,,NA,,246690,,,Compliant,No Issue,841708,,3.2,0.13
20297,2022,COLLEGE PLACE APARTMENTS,Multifamily MR (5-9),1142001780,4131 11TH AVE NE,SEATTLE,WA,98105,47.65769,-122.31702,NORTHEAST,4,1970,9,1,71827,53480,18347,79,36.70000076,38.70000076,2067050,1964766,102.9000015,108.1999969,Multifamily MR (5-9),Multifamily Housing,53480,Parking,10000,NA,,605818,,,Compliant,No Issue,2067050,,7.9,0.15
20303,2022,TRINITY APARTMENTS,Multifamily MR (5-9),1145000070,4301 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65972,-122.31807,NORTHEAST,4,2008,6,1,145350,104050,41300,,,,,,,,Multifamily MR (5-9),Multifamily Housing,141650,Retail Store,3700,NA,,950145,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3241894,,12.4,0.12
20304,2022,THE KENNEDY BUILDING,Multifamily MR (5-9),1145000155,905 NE 45TH ST,SEATTLE,WA,98105,47.66085,-122.31846,NORTHEAST,4,2004,7,1,169931,114503,55428,92,29.10000038,29.70000076,3400962,3335474,81.59999847,83.19999695,Multifamily MR (5-9),Multifamily Housing,111373,Financial Office,3130,NA,,996765,,,Compliant,No Issue,3400962,,13,0.11
20307,2022,ALLEGRO 1 APARTMENTS,Multifamily MR (5-9),1145000325,4115 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65732,-122.31827,NORTHEAST,4,1998,6,1,69452,26120,43332,,,,,,,,Multifamily MR (5-9),Multifamily Housing,69452,Parking,43332,NA,,678194,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",2313999,,8.9,0.34
20308,2022,ALLEGRO II   (53 UNITS PLUS RETAIL),Multifamily MR (5-9),1145000525,4060 9TH AVE NE,SEATTLE,WA,98105,47.65715,-122.31858,NORTHEAST,4,1999,6,1,73927,47791,26136,100,25.29999924,26.10000038,1247770,1206990,70.69999695,73.09999847,Multifamily MR (5-9),Multifamily Housing,47791,Parking,26136,NA,,365701,,,Compliant,No Issue,1247770,,4.8,0.1
20309,2022,CARIBBEAN MANOR APT'S,Multifamily LR (1-4),1160000005,10800 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.70801,-122.3175,NORTH,5,1969,4,1,29683,29683,0,,,,,,,,NA,NA,,NA,,NA,,,,,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,,,,
20310,2022,BROXTON CONDOMINIUM,Multifamily MR (5-9),1165200000,5016 CALIFORNIA AVE SW,SEATTLE,WA,98136,47.55694,-122.38652,SOUTHWEST,1,2003,8,1,40791,40791,0,,,,,,,,Multifamily MR (5-9),Multifamily Housing,42077,Parking,17566,Medical Office,2240,279355,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",953160,,3.7,0.09
20311,2022,LICTONWOOD APT SEATTLE HOUSING,Multifamily MR (5-9),1172000025,9001 GREENWOOD AVE N,SEATTLE,WA,98103,47.69455,-122.35573,NORTHWEST,6,1971,5,1,56319,56319,0,37,54.29999924,55.90000153,3147396,3059691,130,134.1999969,Multifamily MR (5-9),Multifamily Housing,56319,NA,,NA,,712480,,7164,Compliant,No Issue,2430983,716410,47.4,0.84
20312,2022,TELEMARK APTS,Multifamily LR (1-4),1175000630,2850 NW 56TH ST,SEATTLE,WA,98107,47.66965,-122.39489,BALLARD,6,1975,4,1,30948,30948,0,88,23.10000038,23.89999962,740939,714314,64.59999847,67,Multifamily LR (1-4),Multifamily Housing,30948,NA,,NA,,217157,,,Compliant,No Issue,740939,,2.8,0.09
20316,2022,FAIRHAVEN APTS,Multifamily LR (1-4),1175000904,2839 NW 56TH ST,SEATTLE,WA,98107,47.66927,-122.39485,BALLARD,6,1988,4,1,39319,30786,8533,77,31.39999962,32.29999924,994605,966897,87.90000153,90.5,Multifamily LR (1-4),Multifamily Housing,30786,Parking,0,NA,,291502,,,Compliant,No Issue,994605,,3.8,0.12
20320,2022,ISLAND VIEW APTS,Multifamily LR (1-4),1501800015,3033 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.57602,-122.38712,SOUTHWEST,1,1984,4,1,41443,41443,0,45,33.70000076,34.70000076,1437450,1395525,94.30000305,97.09999847,Multifamily LR (1-4),Multifamily Housing,41443,NA,,NA,,421293,,,Compliant,No Issue,1437450,,5.5,0.13
20321,2022,CHAMBERY PARK CONDOMINIUM,Multifamily LR (1-4),1508400000,13730 15TH AVE NE,SEATTLE,WA,98125,47.72971,-122.31089,NORTH,5,1975,3,1,130680,130680,0,20,27,28.39999962,3715118,3535276,75.69999695,79.59999847,Multifamily LR (1-4),Multifamily Housing,130709,NA,,NA,,1088839,,,Compliant,No Issue,3715119,,14.2,0.11
20323,2022,CHANCERY PLACE APARTMENTS,Multifamily HR (10+),1510600000,910 MARION ST,SEATTLE,WA,98104,47.60817,-122.32654,EAST,3,1982,15,1,115775,84240,31535,,,,,,,,Multifamily HR (10+),Multifamily Housing,73008,Parking,31535,Office,11232,,,,Not Compliant,Missing EUI or Utility Data,,,,
20324,2022,TEMPLE BETH AM,NonResidential,1513800009,2632 NE 80TH ST,SEATTLE,WA,98115,47.68752,-122.29852,NORTHEAST,4,2000,2,1,31386,31386,0,27,52,54,1620415,1558951,98.40000153,100.5,Worship Facility,Worship Facility,30000,NA,,NA,,220202,,8691,Compliant,No Issue,751328,869090,49,1.56
20325,2022,UNIVERSITY PREPARATORY ACADEMY - CAMPUS,Campus,1513800010,8000 25TH AVE NE,SEATTLE,WA,98115,47.687,-122.30013,NORTHEAST,4,1989,3,5,74936,74936,0,24,95.30000305,98.69999695,9491698,9160814,158.3999939,162,K-12 School,K-12 School,96154,NA,,NA,,939770,,62852,Compliant,No Issue,3206496,6285200,346.1,4.62
20330,2022,CHARBONNEAU CONDOMINIUM,Multifamily MR (5-9),1522500000,1201 BOYLSTON AVE,SEATTLE,WA,98101,47.61255,-122.3239,EAST,3,1989,5,1,140778,96578,44200,97,25.60000038,26.29999924,2540784,2472790,71.69999695,73.69999695,Multifamily MR (5-9),Multifamily Housing,96578,Parking,44200,NA,,744661,,,Compliant,No Issue,2540784,,9.7,0.1
20340,2022,LAURELHURST APTS,Multifamily LR (1-4),1525049011,3913 NE 45TH ST,SEATTLE,WA,98105,47.66085,-122.28577,NORTHEAST,4,1961,4,4,30834,30834,0,93,25,26.10000038,753739,723213,70.09999847,73.09999847,Multifamily LR (1-4),Multifamily Housing,28876,NA,,NA,,220908,,,Compliant,No Issue,753739,,2.9,0.09
20343,2022,CHATILLON,Multifamily MR (5-9),1532000000,505 W MERCER PL,SEATTLE,WA,98119,47.62479,-122.36444,MAGNOLIA / QUEEN ANNE,7,2002,5,1,21536,21536,0,,42.70000076,45.40000153,978140,920457,78.19999695,81,Multifamily MR (5-9),Multifamily Housing,21536,Parking,6000,NA,,120139,,5682,Compliant,No Issue,409915,568220,31.7,1.47
20360,2022,CINNAMON RIDGE CONDOMINIUM,Multifamily LR (1-4),1592100000,6910 CALIFORNIA AVE SW,SEATTLE,WA,98136,47.54192,-122.38682,SOUTHWEST,1,1985,4,1,39581,39581,0,95,19.89999962,20.79999924,824345,788701,55.79999924,58.29999924,Multifamily LR (1-4),Multifamily Housing,39581,NA,,NA,,241602,,,Compliant,No Issue,824345,,3.2,0.08
20361,2022,CITADEL THE CONDOMINIUM,Multifamily LR (1-4),1594000000,2040 13TH AVE W,SEATTLE,WA,98119,47.63785,-122.37352,MAGNOLIA / QUEEN ANNE,7,1989,4,1,23177,23177,0,,20.5,21.20000076,439257,423875,57.29999924,59.40000153,Multifamily LR (1-4),Multifamily Housing,20720,NA,,NA,,128739,,,Compliant,No Issue,439257,,1.7,0.07
20362,2022,CITISCAPE CONDOMINIUM,Multifamily MR (5-9),1594300000,1504 AURORA AVE N,SEATTLE,WA,98109,47.63282,-122.34305,MAGNOLIA / QUEEN ANNE,7,1991,5,1,54360,54360,0,81,35.90000153,37,1675710,1627217,100.5,103.5,Multifamily MR (5-9),Multifamily Housing,45319,NA,,NA,,491123,,,Compliant,No Issue,1675710,,6.4,0.12
20367,2022,CITY LIGHTS ON HARBOR CONDOMINIUM,Multifamily LR (1-4),1595200000,2349 HARBOR AVE SW,SEATTLE,WA,98126,47.58143,-122.3751,SOUTHWEST,1,1990,3,1,70207,70207,0,47,46.09999847,47.90000153,3412112,3285313,64.59999847,66.5,Multifamily LR (1-4),Multifamily Housing,71273,NA,,NA,,193392,,27523,Compliant,No Issue,659855,2752260,148.7,2.12
20369,2022,EMERALD LANDING I,NonResidential,4088801740,2157 N NORTHLAKE WAY,SEATTLE,WA,98103,47.64834,-122.33188,LAKE UNION,4,2012,2,1,84116,57619,26497,7,110.5,110.5,6368249,6364450,307,307,Office,Office,57619,Parking,26497,NA,,1842852,,804,Compliant,No Issue,6287811,80440,28.4,0.49
20372,2022,HOTEL ANDRA,NonResidential,1604500000,2000 4TH AVE,SEATTLE,WA,98121,47.61337,-122.33995,DOWNTOWN,7,1925,9,1,104000,104000,0,94,62.59999847,63,7348538,7303690,118.0999985,118.5,Hotel,Hotel,116600,Parking,6300,NA,,964620,2246909,18103,Compliant,No Issue,3291285,1810340,290.8,2.8
20377,2022,WASHINGTON CARE CENTER,NonResidential,1624049040,2821 S WALDEN ST,SEATTLE,WA,98144,47.57188,-122.29531,SOUTHEAST,2,1981,3,1,58665,58665,0,100,60.5,61.29999924,4805425,4744517,96.90000153,97.69999695,NA,Senior Living Community,78374,Parking,0,NA,,437003,,33144,Compliant,No Issue,1491055,3314370,181.7,3.1
20383,2022,CITY VIEWS APTS,Multifamily LR (1-4),1324039102,3021 SW BRADFORD ST,SEATTLE,WA,98126,47.56874,-122.37178,SOUTHWEST,1,1992,4,1,121037,81732,39305,86,31.10000038,31.89999962,2611023,2538956,87,89.40000153,Multifamily LR (1-4),Multifamily Housing,81732,Parking,39305,NA,,765247,,,Compliant,No Issue,2611023,,10,0.12
20387,2022,MARINE BUSINESS CENTER,NonResidential,1325039001,801 NW 42ND ST,SEATTLE,WA,98107,47.65742,-122.36736,BALLARD,6,2007,2,1,38784,38784,0,,,,,,,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,38784,NA,,NA,,,,1202,Not Compliant,Missing EUI or Utility Data,,120190,6.4,0.16
20389,2022,CANAL PLACE CONDOMINIUM,Multifamily LR (1-4),1327000000,965 W NICKERSON ST,SEATTLE,WA,98119,47.65346,-122.36987,MAGNOLIA / QUEEN ANNE,7,1984,4,1,26568,26568,0,97,24,25.39999962,675674,638642,67.30000305,71.19999695,Multifamily LR (1-4),Multifamily Housing,26568,Parking,5000,NA,,198029,,,Not Compliant,Account Requires Verification,675674,,2.6,0.1
20390,2022,CANAL STATION CONDOMINIUM,Multifamily MR (5-9),1327100000,5440 LEARY AVE NW,SEATTLE,WA,98107,47.66772,-122.38276,BALLARD,6,2007,6,1,182494,182494,0,,,,,,,,Multifamily MR (5-9),Multifamily Housing,165553,Retail Store,14373,NA,,908367,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3099349,,11.9,0.07
20391,2022,CANAL STATION NORTH CONDOMINIUM,Multifamily MR (5-9),1327150000,5450 LEARY AVE NW,SEATTLE,WA,98107,47.6679,-122.38309,BALLARD,6,2007,6,1,113462,113462,0,,,,,,,,Multifamily MR (5-9),Multifamily Housing,113462,NA,,NA,,695782,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",2374007,,9.1,0.08
20393,2022,D W CLOSE CO,NonResidential,1327300004,3317 3RD AVE S,SEATTLE,WA,98134,47.57383,-122.33046,GREATER DUWAMISH,2,1969,2,1,41790,41790,0,,,,,,,,NA,NA,,NA,,NA,,,,,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,,,,
20394,2022,PORT OF SEATTLE -MARINE MAINTENANCE SHOP,NonResidential,1327300005,25 S HORTON ST,SEATTLE,WA,98134,47.57411,-122.33715,GREATER DUWAMISH,2,1959,1,0,32192,32192,0,,,,,,,,NA,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",51442,Self-Storage Facility,168,Other,35,472735,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",1612972,,6.2,0.19
20395,2022,HOLYOKE BUILDING,NonResidential,0939000515,1018 1ST AVE,SEATTLE,WA,98104,47.60542,-122.3364,DOWNTOWN,7,1900,5,1,39960,39960,0,81,38.40000153,40.90000153,1635144,1534561,83.09999847,87.40000153,Office,Office,37120,Other,2840,NA,,297534,,6200,Compliant,No Issue,1015187,619960,36.8,0.92
20396,2022,MEAVES BUILDING,NonResidential,0939000530,1012 1ST AVE,SEATTLE,WA,98104,47.60528,-122.33627,DOWNTOWN,7,1900,5,1,33300,33300,0,87,22.89999962,23.10000038,725456,720038,64.09999847,64.5,Office,Office,31470,NA,,NA,,212619,,0,Compliant,No Issue,725456,0,2.8,0.08
20397,2022,HOTEL SEATTLE,NonResidential,0942000120,315 SENECA ST,SEATTLE,WA,98101,47.60721,-122.33451,DOWNTOWN,7,1926,11,1,36240,36240,0,100,5.199999809,5.199999809,189722,189722,14.69999981,14.69999981,Hotel,Hotel,36240,NA,,NA,,55604,,,Compliant,No Issue,189722,,0.7,0.02
20398,2022,WOMENS UNIVERSITY CLUB,NonResidential,0942000255,1105 6TH AVE,SEATTLE,WA,98101,47.60781,-122.33186,DOWNTOWN,7,1922,3,1,39320,32360,6960,,70.19999695,72.59999847,2854362,2759789,116.6999969,119.5999985,Social/Meeting Hall,Social/Meeting Hall,39320,NA,,NA,,250176,1393080,6077,Compliant,No Issue,853601,607680,148.4,4.59
20401,2022,DOVER APTS,Multifamily MR (5-9),0942000460,901 6TH AVE,SEATTLE,WA,98104,47.60639,-122.3303,DOWNTOWN,7,1907,5,1,41452,41452,0,97,43.70000076,45.90000153,1902030,1810920,68.19999695,70.59999847,Multifamily MR (5-9),Multifamily Housing,41452,NA,,NA,,155310,,13721,Compliant,No Issue,529918,1372110,74.9,1.81
20402,2022,THE SANCTUARY AT 811 5TH AVE,NonResidential,0942000530,811 5TH AVE,SEATTLE,WA,98104,47.60547,-122.33118,DOWNTOWN,7,1908,5,1,41536,41536,0,,,,,,,,Performing Arts,Performing Arts,20000,NA,,NA,,,,,Not Compliant,Missing EUI or Utility Data,,,,
20403,2022,PACIFIC HOTEL/APTS,Multifamily LR (1-4),0942000555,317 MARION ST,SEATTLE,WA,98104,47.60511,-122.33241,DOWNTOWN,7,1916,3,1,45320,45320,0,,59.09999847,60.70000076,2751756,2678655,105.6999969,107.4000015,Multifamily LR (1-4),Multifamily Housing,45320,NA,,NA,,331389,,16211,Compliant,No Issue,1130700,1621060,90.4,2
20406,2022,REYNOLDS WORK RELEASE FACILITY,NonResidential,0942001120,410 4TH AVE,SEATTLE,WA,98104,47.60223,-122.32889,DOWNTOWN,7,1909,6,1,35820,35820,0,,,,,,,,Hotel,Hotel,35820,NA,,NA,,208261,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",710586,,2.7,0.08
20407,2022,CATE APTS,Multifamily LR (1-4),0945000680,312 NW 85TH ST,SEATTLE,WA,98117,47.69088,-122.36127,NORTHWEST,6,2003,4,1,42984,35584,7400,67,34.09999847,34.90000153,1250102,1220106,91.90000153,94.19999695,Multifamily LR (1-4),Multifamily Housing,35784,Parking,7400,Office,1005,344690,,740,Compliant,No Issue,1176082,74020,8.4,0.24
20415,2022,HOLY ROSARY SCHOOL,NonResidential,0952002500,4152 42ND AVE SW,SEATTLE,WA,98116,47.56542,-122.38502,SOUTHWEST,1,1922,2,1,33462,33462,0,40,87.19999695,90.30000305,5228077,5049000,108.0999985,111.4000015,K-12 School,K-12 School,57896,NA,,NA,,161166,,46782,Compliant,No Issue,549900,4678180,250.6,7.49
20419,2022,SEATTLE LUTHERAN HIGH SCHOOL,NonResidential,0952002655,4100 SW GENESEE ST,SEATTLE,WA,98116,47.56504,-122.38455,SOUTHWEST,1,1965,3,1,49744,49744,0,,,,,,,,K-12 School,K-12 School,49744,NA,,NA,,88247,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",301098,,1.2,0.02
20425,2022,HOPE LUTHERAN CHURCH,NonResidential,0952005960,4456 42ND AVE SW,SEATTLE,WA,98116,47.56342,-122.38509,SOUTHWEST,1,1923,2,1,37816,37816,0,,,,,,,,Worship Facility,Worship Facility,19407,K-12 School,18701,NA,,184657,,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",630048,,2.4,0.06
20427,2022,LYON'S ANTIQUE MALL-WINDEREMERE-GARLIC JIMS,NonResidential,0952006290,4520 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.5622,-122.38648,SOUTHWEST,1,1926,2,1,23315,23315,0,,63.79999924,68.40000153,1139090,1062194,121.6999969,126.5999985,Mixed Use Property,Office,7758,Retail Store,6919,Restaurant,1976,152642,,6183,Compliant,No Issue,520816,618270,34.8,1.49
